RDG                 ,number of points    ,volume              ,abr kinetic energy  ,abr potental energy ,abr total energy    ,elf                 ,rho                 
0.1                 ,34000               ,0.272               ,0.00416734          ,-0.0050893          ,-0.000921953        ,0.131715            ,0.00758036          
0.2                 ,145758              ,1.16606             ,0.0183348           ,-0.0225399          ,-0.00420511         ,0.583405            ,0.0331604           
0.3                 ,266132              ,2.12906             ,0.0335224           ,-0.0412771          ,-0.00775473         ,1.09822             ,0.0605068           
