RDG                 ,number of points    ,volume              ,abr kinetic energy  ,abr potental energy ,abr total energy    ,elf                 ,rho difference      
0.1                 ,52410               ,0.41928             ,0.00669421          ,-0.008366           ,-0.00167179         ,0.210158            ,0.00293309          
0.2                 ,268766              ,2.15013             ,0.0354448           ,-0.0446876          ,-0.00924287         ,1.11974             ,0.00196494          
0.3                 ,612285              ,4.89828             ,0.0808161           ,-0.102408           ,-0.0215924          ,2.66681             ,-0.0259201          
